date,open,high,low,close,adjClose,volume
2019-03-01,123.25,123.90,121.27,123.53,123.53,3024700
2019-02-28,118.85,122.37,118.33,121.69,121.69,4219200
2019-02-27,116.41,119.47,116.35,119.46,119.46,3262600
2019-02-26,117.10,118.96,116.25,116.92,116.92,2456800
2019-02-25,118.57,121.10,116.33,118.27,118.27,4416600
2019-02-22,114.10,116.61,113.63,116.55,116.55,3173000
2019-02-21,116.44,116.51,111.72,113.16,113.16,4667400
2019-02-20,113.00,119.25,112.75,116.30,116.30,8181100
2019-02-19,106.09,112.85,106.08,112.57,112.57,7687900
2019-02-15,106.20,107.66,104.25,106.85,106.85,5239300
2019-02-14,105.47,108.55,103.25,107.27,107.27,9540200
2019-02-13,114.19,116.89,105.60,106.87,106.87,19247600
2019-02-12,115.75,116.67,114.46,115.29,115.29,6914400
2019-02-11,118.50,119.00,113.71,115.75,115.75,6263700
2019-02-08,108.88,114.92,108.80,114.78,114.78,3163500
